,gwl,wl,rain,stgH,stgT,gate1,gate2
2017-01-20 19:00:00+00:00,,-0.038,,,,,
2017-01-20 20:00:00+00:00,,0.007,,,,,
2017-01-20 21:00:00+00:00,,-0.009,,,,,
2017-01-20 22:00:00+00:00,,-0.095,,,,,
2017-01-20 23:00:00+00:00,,-0.21,,,,,
2017-01-21 00:00:00+00:00,,-0.317,,,,,
2017-01-21 01:00:00+00:00,,-0.415,,,,,
2017-01-21 02:00:00+00:00,,-0.475,,,,,
2017-01-21 03:00:00+00:00,,-0.479,,,,,
2017-01-21 04:00:00+00:00,,-0.414,,,,,
2017-01-21 05:00:00+00:00,,-0.3,,,,,
2017-01-21 06:00:00+00:00,,-0.192,,,,,
2017-01-21 07:00:00+00:00,,-0.095,,,,,
2017-01-21 08:00:00+00:00,,-0.014,,,,,
2017-01-21 09:00:00+00:00,,0.023,,,,,
2017-01-21 10:00:00+00:00,,-0.015,,,,,
2017-01-21 11:00:00+00:00,,-0.123,,,,,
2017-01-21 12:00:00+00:00,,-0.225,,,,,
2017-01-21 13:00:00+00:00,,-0.299,,,,,
2017-01-21 14:00:00+00:00,,-0.359,,,,,
2017-01-21 15:00:00+00:00,,-0.372,,,,,
2017-01-21 16:00:00+00:00,,-0.329,,,,,
2017-01-21 17:00:00+00:00,,-0.235,,,,,
2017-01-21 18:00:00+00:00,,-0.137,,,,,
